Date,Temp,Humidity,Rain,Wind
2020-04-16,19.8,54,2.0,2.8
2020-04-17,16.1,40,1.5,7.4
2020-04-18,15.9,51,2.0,3.0
2020-04-19,15.0,46,1.2,6.7
2020-04-20,11.0,54,0.5,6.7
2020-04-21,14.5,60,0.3,3.0
2020-04-22,14.4,58,0.1,5.1
2020-04-23,18.9,68,0.6,0.8
2020-04-24,13.3,64,0.1,0.8
2020-04-25,14.0,72,1.7,0.4
2020-04-26,13.1,88,0.7,4.6
2020-04-27,10.5,71,3.5,3.4
2020-04-28,14.9,88,0.2,4.4
2020-04-29,13.8,74,0.5,4.2
2020-04-30,13.6,83,2.6,2.8
2020-05-01,9.9,77,1.8,5.4
2020-05-02,14.3,65,0.1,6.1
2020-05-03,8.4,50,4.2,0.1
2020-05-04,12.1,74,4.2,1.7
2020-05-05,15.1,47,0.8,5.7
2020-05-06,8.5,85,0.8,3.1
2020-05-07,9.1,53,9.0,5.3
2020-05-08,10.1,49,2.0,2.8
2020-05-09,8.7,41,1.5,3.1
2020-05-10,6.4,85,3.6,1.3
2020-05-11,9.4,48,0.7,2.1
2020-05-12,6.9,42,1.1,4.8
2020-05-13,9.7,60,0.6,3.5
2020-05-14,6.7,65,3.1,6.2
2020-05-15,11.4,47,1.7,6.8
2020-05-16,6.5,87,2.2,4.3
2020-05-17,7.3,41,0.6,6.1
2020-05-18,9.3,45,0.5,2.5
2020-05-19,5.0,67,1.3,3.3
2020-05-20,7.8,68,2.7,5.7
2020-05-21,9.8,65,1.5,3.1
2020-05-22,3.8,64,0.1,4.7
2020-05-23,7.2,51,4.1,1.5
2020-05-24,7.2,44,0.1,4.8
2020-05-25,8.1,73,6.2,6.9
2020-05-26,3.9,87,0.1,6.9
2020-05-27,3.6,76,2.4,5.8
2020-05-28,7.1,54,0.2,6.0
2020-05-29,6.5,83,4.8,4.5
2020-05-30,6.3,75,1.2,4.7
2020-05-31,6.4,54,0.3,1.1
2020-06-01,4.3,82,0.8,3.6
2020-06-02,6.0,87,0.4,3.6
2020-06-03,6.0,62,0.4,7.7
2020-06-04,3.9,45,5.9,3.4
2020-06-05,9.0,85,1.2,4.4
2020-06-06,6.2,89,3.1,4.3
2020-06-07,2.8,83,2.0,5.1
2020-06-08,6.4,82,2.3,6.0
2020-06-09,3.1,84,0.3,1.8
2020-06-10,6.6,60,0.5,4.2
2020-06-11,7.3,62,3.1,6.6
2020-06-12,3.4,82,7.1,3.7
2020-06-13,6.9,55,0.6,2.2
2020-06-14,5.8,86,0.6,5.2
2020-06-15,6.7,54,1.3,6.6
2020-06-16,8.8,64,8.3,0.5
2020-06-17,4.6,75,0.6,6.2
2020-06-18,3.6,50,1.0,6.6
2020-06-19,3.4,54,4.4,3.7
2020-06-20,3.6,43,0.0,7.9
2020-06-21,5.1,60,0.1,6.3
2020-06-22,6.0,52,1.9,6.2
2020-06-23,5.9,61,4.8,6.0
2020-06-24,7.1,58,0.5,1.2
2020-06-25,5.6,73,1.3,1.7
2020-06-26,8.6,53,1.2,3.7
2020-06-27,5.2,43,1.3,2.1
2020-06-28,11.3,87,1.9,3.3
2020-06-29,7.3,85,1.3,7.1
2020-06-30,4.4,66,1.2,6.6
2020-07-01,4.1,68,1.3,5.0
2020-07-02,7.4,86,1.8,6.9
2020-07-03,6.1,67,1.5,6.3
2020-07-04,8.1,74,3.9,3.4
2020-07-05,7.8,47,0.1,1.6
2020-07-06,6.9,55,3.6,4.1
2020-07-07,5.5,81,3.7,5.9
2020-07-08,4.4,75,0.7,3.5
2020-07-09,6.7,69,1.2,5.3
2020-07-10,9.5,57,1.2,0.8
2020-07-11,8.4,41,0.5,6.0
2020-07-12,5.7,88,1.0,6.5
2020-07-13,8.8,52,0.1,5.7
2020-07-14,9.4,43,0.7,7.7
2020-07-15,7.1,65,3.4,6.6
2020-07-16,9.4,64,0.7,7.2
2020-07-17,9.4,69,3.4,7.5
2020-07-18,7.3,50,1.5,6.4
2020-07-19,10.5,46,4.2,5.4
2020-07-20,11.2,70,1.7,0.0
2020-07-21,12.5,83,0.1,3.7
2020-07-22,12.7,49,2.3,4.6
2020-07-23,8.1,78,0.1,2.4
2020-07-24,9.2,52,1.2,2.5
2020-07-25,12.4,70,5.3,7.7
2020-07-26,12.7,46,0.4,7.1
2020-07-27,12.9,88,1.0,6.8
2020-07-28,19.9,81,2.6,3.2
2020-07-29,13.6,81,4.3,0.1
2020-07-30,15.0,75,2.2,0.6
2020-07-31,14.9,59,0.6,2.5
2020-08-01,14.6,43,2.2,0.1
2020-08-02,12.9,46,0.7,0.1
2020-08-03,15.4,40,2.5,7.3
2020-08-04,12.6,83,6.2,5.6
2020-08-05,14.0,84,2.6,2.5
2020-08-06,13.7,81,4.0,1.1
2020-08-07,15.2,86,0.0,4.1
2020-08-08,19.9,52,2.5,0.0
2020-08-09,11.8,61,3.5,7.5
2020-08-10,17.2,60,0.1,3.3
2020-08-11,12.9,61,4.1,3.2
2020-08-12,15.5,67,0.6,3.1
2020-08-13,18.9,48,2.2,0.6
2020-08-14,17.1,65,3.2,5.1
2020-08-15,15.1,48,2.2,5.9
2020-08-16,16.1,54,0.2,5.4
2020-08-17,19.2,49,1.8,1.1
2020-08-18,16.6,63,1.6,4.6
2020-08-19,18.8,81,4.6,4.6
2020-08-20,18.7,47,1.0,6.9
2020-08-21,17.6,63,0.8,3.0
2020-08-22,23.5,55,2.8,3.0
2020-08-23,20.7,88,1.1,4.9
2020-08-24,15.6,65,2.1,5.1
2020-08-25,20.3,66,2.1,3.8
2020-08-26,18.9,76,4.4,3.5
2020-08-27,22.1,43,1.8,4.0
2020-08-28,19.1,89,1.4,6.9
2020-08-29,20.7,63,0.3,3.7
2020-08-30,22.1,58,0.2,7.5
2020-08-31,23.1,75,0.3,4.0
2020-09-01,19.2,78,0.4,7.6
2020-09-02,21.1,49,2.0,6.7
2020-09-03,21.0,64,2.7,2.9
2020-09-04,20.9,57,1.5,6.9
2020-09-05,25.9,58,3.5,0.9
2020-09-06,23.4,75,9.5,7.4
2020-09-07,20.2,49,3.4,5.1
2020-09-08,24.8,72,2.4,0.4
2020-09-09,27.4,89,1.5,5.2
2020-09-10,25.3,44,1.2,7.8
2020-09-11,20.4,86,0.2,0.6
2020-09-12,22.6,88,1.0,4.4
2020-09-13,26.3,74,4.8,6.0
2020-09-14,22.5,83,3.3,6.5
2020-09-15,24.9,73,0.5,3.3
2020-09-16,25.7,72,1.3,1.6
2020-09-17,22.4,60,3.4,0.3
2020-09-18,24.2,56,0.1,4.6
2020-09-19,18.0,61,1.0,3.6
2020-09-20,22.5,87,3.8,7.6
2020-09-21,24.1,76,1.0,0.5
2020-09-22,22.2,54,0.2,5.5
2020-09-23,28.0,74,1.6,0.2
2020-09-24,22.0,67,4.0,1.4
2020-09-25,24.0,46,1.8,3.6
2020-09-26,25.2,71,0.5,3.6
2020-09-27,27.8,50,1.0,5.5
2020-09-28,22.1,49,1.2,7.3
2020-09-29,27.3,48,1.7,5.1
2020-09-30,25.0,53,2.8,7.6
2020-10-01,23.0,52,0.2,7.1
2020-10-02,25.9,64,4.4,4.7
2020-10-03,25.4,41,0.0,6.7
2020-10-04,23.8,74,0.9,5.1
2020-10-05,25.1,46,0.1,0.6
2020-10-06,24.1,60,1.0,5.9
2020-10-07,25.1,57,1.5,0.8
2020-10-08,26.1,42,1.4,4.8
2020-10-09,27.9,81,0.4,5.6
2020-10-10,22.2,78,2.1,0.5
2020-10-11,28.8,80,0.1,1.8
2020-10-12,20.6,88,2.9,7.3
2020-10-13,24.1,50,5.9,4.9
2020-10-14,25.5,78,0.8,2.0
2020-10-15,24.7,63,1.5,5.5
2020-10-16,22.8,85,1.0,4.8
2020-10-17,23.5,58,0.0,4.0
2020-10-18,22.8,43,1.0,7.8
2020-10-19,22.5,65,3.1,5.5
2020-10-20,25.2,77,1.8,3.0
2020-10-21,24.1,81,0.2,6.4
2020-10-22,21.8,71,3.8,7.1
2020-10-23,24.8,78,1.5,1.0
2020-10-24,23.5,84,3.7,1.6
2020-10-25,24.3,85,1.7,1.7
2020-10-26,23.7,75,1.6,5.5
2020-10-27,20.6,79,0.2,4.8
2020-10-28,21.0,76,0.4,5.0
2020-10-29,23.4,72,7.2,7.5
2020-10-30,22.9,75,0.5,6.2
2020-10-31,21.4,42,7.6,1.0
2020-11-01,21.5,48,1.5,2.8
2020-11-02,23.6,47,0.3,3.5
2020-11-03,19.6,72,0.2,3.2
2020-11-04,21.6,45,0.5,5.4
2020-11-05,19.9,80,5.2,7.1
2020-11-06,19.6,78,1.1,2.4
2020-11-07,22.0,43,1.0,4.4
2020-11-08,21.2,52,0.8,6.3
2020-11-09,20.9,88,0.3,3.3
2020-11-10,21.7,41,1.3,1.3
2020-11-11,18.8,44,0.3,3.8
2020-11-12,19.9,83,3.6,0.4
2020-11-13,17.6,66,0.9,7.5
2020-11-14,18.6,71,0.9,0.6
2020-11-15,17.4,60,1.3,3.5
2020-11-16,17.6,47,1.2,4.2
2020-11-17,18.3,77,10.5,7.9
2020-11-18,15.2,47,1.6,1.3
2020-11-19,20.8,89,0.2,0.9
2020-11-20,14.3,42,1.9,0.1
2020-11-21,13.6,83,0.3,1.2
2020-11-22,18.0,42,0.1,1.7
2020-11-23,17.0,61,7.1,5.0
2020-11-24,16.4,45,3.0,1.8
2020-11-25,16.1,41,7.8,0.2
2020-11-26,14.5,62,1.3,6.6
2020-11-27,12.5,83,1.5,2.9
2020-11-28,14.1,41,0.4,2.8
2020-11-29,12.4,77,0.6,2.4
2020-11-30,15.4,56,3.6,7.8
2020-12-01,12.9,74,0.9,1.4
2020-12-02,11.2,73,3.5,7.2
2020-12-03,11.9,62,2.5,6.2
2020-12-04,13.1,69,0.4,0.6
2020-12-05,10.9,47,1.4,7.9
2020-12-06,10.1,61,2.3,2.2
2020-12-07,12.0,83,0.5,0.8
2020-12-08,11.7,75,3.6,6.6
2020-12-09,9.9,44,1.6,5.7
2020-12-10,9.8,52,0.4,4.9
2020-12-11,10.9,68,1.7,1.2
2020-12-12,7.3,70,16.3,3.8
2020-12-13,7.1,86,0.3,6.2
2020-12-14,8.3,55,3.4,2.4
2020-12-15,9.0,81,0.5,2.5
2020-12-16,9.8,69,3.1,0.0
2020-12-17,11.9,55,2.7,1.4
2020-12-18,10.5,51,0.7,7.0
2020-12-19,8.2,56,0.8,3.5
2020-12-20,8.3,55,3.1,7.9
2020-12-21,6.1,51,1.2,3.2
2020-12-22,7.9,47,2.6,5.7
2020-12-23,7.1,59,0.3,2.3
2020-12-24,8.2,42,3.8,2.9
2020-12-25,5.7,55,2.5,1.5
2020-12-26,8.2,69,4.7,2.8
2020-12-27,10.0,84,0.3,4.4
2020-12-28,6.6,62,1.8,7.9
2020-12-29,7.4,67,1.8,5.3
2020-12-30,7.9,79,0.9,1.6
2020-12-31,5.5,44,1.2,0.4
2021-01-01,6.6,59,0.1,1.0
2021-01-02,6.1,79,2.7,4.5
2021-01-03,6.1,83,1.6,6.1
2021-01-04,4.3,40,0.1,7.5
2021-01-05,5.8,69,2.3,0.1
2021-01-06,6.6,60,1.3,4.2
2021-01-07,8.4,59,0.1,3.8
2021-01-08,7.3,45,7.0,5.2
2021-01-09,9.7,61,6.0,4.5
2021-01-10,3.7,57,1.4,5.5
2021-01-11,7.0,47,0.2,5.3
2021-01-12,5.5,78,2.8,0.9
2021-01-13,9.5,71,1.4,6.4
2021-01-14,3.5,72,0.7,1.0
2021-01-15,3.4,55,1.4,5.6
2021-01-16,3.8,51,1.5,3.3
2021-01-17,0.8,77,1.7,4.1
2021-01-18,3.9,73,1.2,7.2
2021-01-19,3.5,53,1.9,7.1
2021-01-20,5.3,75,5.0,6.5
2021-01-21,5.7,72,0.9,4.1
2021-01-22,8.8,62,2.6,5.9
2021-01-23,7.0,89,4.5,4.1
2021-01-24,4.0,84,1.2,7.0
2021-01-25,3.4,41,1.2,3.2
2021-01-26,6.2,80,1.8,7.8
2021-01-27,2.7,60,1.8,7.5
2021-01-28,9.1,41,3.3,5.9
2021-01-29,7.8,66,1.3,2.2
2021-01-30,4.6,48,11.1,1.1
2021-01-31,2.2,40,0.1,6.8
2021-02-01,8.5,50,0.0,1.3
2021-02-02,5.7,42,2.0,6.8
2021-02-03,8.5,62,0.7,3.9
2021-02-04,2.9,65,0.5,3.3
2021-02-05,5.1,43,0.7,7.2
2021-02-06,6.4,57,0.6,4.8
2021-02-07,6.7,45,0.1,4.6
2021-02-08,5.8,74,7.1,4.5
2021-02-09,8.1,61,0.5,3.0
2021-02-10,4.9,82,2.6,6.3
2021-02-11,6.9,54,2.9,2.0
2021-02-12,7.7,61,5.3,7.5
2021-02-13,8.6,76,0.1,7.2
2021-02-14,9.2,81,4.1,2.7
2021-02-15,5.8,51,1.5,5.8
2021-02-16,5.1,86,2.0,4.6
2021-02-17,11.0,88,2.1,2.7
2021-02-18,9.3,81,3.4,7.9
2021-02-19,7.4,77,0.8,0.2
2021-02-20,12.2,57,2.6,2.0
2021-02-21,9.6,84,1.5,4.2
2021-02-22,11.9,74,3.2,4.2
2021-02-23,9.9,69,9.3,4.7
2021-02-24,14.2,63,0.4,6.0
2021-02-25,13.8,81,10.5,5.0
2021-02-26,10.1,69,0.2,4.8
2021-02-27,12.8,53,0.0,0.4
2021-02-28,12.4,45,0.1,3.0
2021-03-01,14.1,42,0.8,1.9
2021-03-02,9.7,55,2.0,2.1
2021-03-03,13.3,46,0.1,4.4
2021-03-04,14.3,53,0.0,1.6
2021-03-05,8.9,48,5.5,2.4
2021-03-06,10.4,54,3.5,1.9
2021-03-07,8.9,60,3.3,7.6
2021-03-08,12.7,74,4.3,7.6
2021-03-09,15.0,41,2.4,4.9
2021-03-10,16.9,66,0.2,7.4
2021-03-11,14.3,41,1.0,6.3
2021-03-12,17.7,74,2.6,4.7
2021-03-13,12.0,57,0.7,0.1
2021-03-14,11.6,53,2.3,6.2
2021-03-15,15.2,59,0.0,5.6
2021-03-16,16.3,57,0.7,4.9
2021-03-17,15.8,49,1.6,6.1
2021-03-18,12.0,64,2.0,4.1
2021-03-19,16.3,41,1.7,5.6
2021-03-20,14.1,64,2.4,7.5
2021-03-21,18.3,72,0.0,3.0
2021-03-22,18.0,75,0.2,5.7
2021-03-23,15.7,70,4.1,3.8
2021-03-24,16.8,53,2.3,5.4
2021-03-25,16.0,40,0.2,6.1
2021-03-26,18.2,85,3.7,0.4
2021-03-27,20.6,55,0.6,5.2
2021-03-28,16.9,85,1.3,1.8
2021-03-29,20.2,42,0.3,5.4
2021-03-30,18.4,74,2.5,3.7
2021-03-31,18.1,80,2.2,6.2
2021-04-01,19.7,45,0.5,1.0
2021-04-02,18.1,64,4.0,5.0
2021-04-03,19.3,52,1.0,2.2
2021-04-04,18.3,73,0.7,6.8
2021-04-05,24.8,47,0.3,7.4
2021-04-06,21.2,60,0.6,8.0
2021-04-07,20.0,73,0.0,6.4
2021-04-08,22.0,43,1.8,6.0
2021-04-09,21.6,64,3.7,1.7
2021-04-10,21.6,54,1.6,2.7
2021-04-11,23.4,43,0.5,3.7
2021-04-12,23.9,84,0.1,6.2
2021-04-13,21.5,51,0.5,7.3
2021-04-14,21.6,71,1.1,1.5
2021-04-15,22.4,71,2.9,7.4
2021-04-16,18.5,67,0.4,5.6
2021-04-17,20.2,52,2.5,4.9
2021-04-18,26.2,70,4.0,1.6
2021-04-19,26.9,53,1.2,0.4
2021-04-20,23.2,59,3.4,4.5
2021-04-21,25.0,57,1.6,5.2
2021-04-22,24.6,68,2.0,1.7
2021-04-23,30.3,45,1.5,4.5
2021-04-24,26.5,71,1.2,6.9
2021-04-25,24.1,68,0.5,6.7
2021-04-26,22.5,82,0.7,7.4
2021-04-27,21.3,41,0.7,2.9
2021-04-28,25.0,62,1.7,2.5
2021-04-29,23.2,58,0.3,6.0
2021-04-30,21.9,70,5.0,3.4
2021-05-01,23.5,44,2.6,0.7
2021-05-02,22.7,58,1.0,2.3
2021-05-03,28.3,73,0.3,3.3
2021-05-04,26.7,49,4.3,2.3
2021-05-05,25.0,64,3.5,2.7
2021-05-06,27.9,41,2.6,2.4
2021-05-07,25.2,50,0.6,0.3
2021-05-08,23.3,89,1.0,5.1
2021-05-09,28.0,70,0.2,4.8
2021-05-10,26.1,54,0.4,5.2
2021-05-11,22.9,48,3.1,1.5
2021-05-12,24.5,62,2.5,2.4
2021-05-13,23.1,58,1.8,5.0
2021-05-14,22.1,48,4.5,4.8
2021-05-15,26.6,74,1.8,4.1
2021-05-16,28.5,60,1.3,2.8
2021-05-17,21.9,48,0.8,7.3
2021-05-18,25.7,67,5.6,2.7
2021-05-19,23.2,85,0.2,3.6
2021-05-20,23.4,46,5.3,5.4
2021-05-21,23.1,55,3.5,4.3
2021-05-22,22.4,55,0.3,2.8
2021-05-23,24.2,72,1.7,3.5
2021-05-24,22.3,43,4.0,6.4
2021-05-25,24.3,43,1.7,2.2
2021-05-26,23.6,78,4.8,1.1
2021-05-27,23.0,79,5.7,2.5
2021-05-28,21.5,56,1.1,6.8
2021-05-29,22.0,76,0.9,0.7
2021-05-30,24.5,78,5.5,7.9
2021-05-31,23.9,68,2.2,4.3
2021-06-01,20.7,75,0.2,7.9
2021-06-02,22.7,77,0.1,7.5
2021-06-03,23.8,78,1.7,3.6
2021-06-04,18.8,89,5.3,1.6
2021-06-05,23.0,76,3.7,1.3
2021-06-06,20.4,74,2.3,1.9
2021-06-07,22.6,46,0.3,5.7
2021-06-08,19.7,66,0.6,2.2
2021-06-09,17.4,67,4.2,2.7
2021-06-10,17.5,61,0.4,3.6
2021-06-11,20.6,53,0.7,7.3
2021-06-12,20.8,46,0.3,1.5
2021-06-13,18.3,76,2.3,0.0
2021-06-14,21.1,61,5.8,0.5
2021-06-15,16.2,44,0.6,7.2
2021-06-16,19.2,41,1.3,5.2
2021-06-17,16.6,66,2.0,2.2
2021-06-18,17.5,60,15.1,1.4
2021-06-19,18.6,77,0.2,2.4
2021-06-20,16.5,54,1.4,0.9
2021-06-21,17.2,60,1.0,7.5
2021-06-22,19.7,49,4.0,6.3
2021-06-23,16.3,62,1.3,3.7
2021-06-24,18.8,78,0.2,6.9
2021-06-25,14.6,44,2.0,2.0
2021-06-26,17.6,40,2.9,5.7
2021-06-27,19.2,52,0.0,6.8
2021-06-28,11.1,60,3.9,2.9
2021-06-29,14.1,65,0.4,6.1
2021-06-30,16.6,89,1.6,2.4
2021-07-01,14.7,84,1.1,2.4
2021-07-02,15.6,60,2.5,0.9
2021-07-03,13.4,57,0.9,3.5
2021-07-04,14.5,76,4.1,5.8
2021-07-05,13.7,84,2.6,7.5
2021-07-06,16.0,71,2.1,4.8
2021-07-07,13.9,75,3.2,6.9
2021-07-08,13.8,56,2.8,6.6
2021-07-09,12.0,74,0.1,1.4
2021-07-10,11.6,88,1.0,3.9
2021-07-11,11.4,50,5.3,0.9
2021-07-12,12.8,60,0.3,5.5
2021-07-13,10.9,65,2.7,7.6
2021-07-14,12.1,43,7.3,1.1
2021-07-15,15.4,73,0.1,5.9
2021-07-16,12.7,87,2.3,5.1
2021-07-17,10.0,57,1.3,4.7
2021-07-18,12.8,79,1.7,3.1
2021-07-19,9.4,74,0.2,2.8
2021-07-20,5.9,80,0.1,0.4
2021-07-21,7.7,68,2.2,1.7
2021-07-22,5.7,68,3.5,0.1
2021-07-23,8.5,77,3.0,4.7
2021-07-24,9.0,81,1.6,0.8
2021-07-25,12.1,60,0.2,7.0
2021-07-26,9.2,81,2.3,4.2
2021-07-27,7.9,52,0.6,5.6
2021-07-28,9.8,88,4.8,3.3
2021-07-29,3.5,80,3.6,4.5
2021-07-30,8.2,56,2.5,7.5
2021-07-31,9.1,48,5.9,0.7
2021-08-01,4.4,80,0.1,2.0
2021-08-02,9.4,40,2.7,6.2
2021-08-03,7.6,41,0.8,0.8
2021-08-04,6.0,87,4.7,0.6
2021-08-05,7.9,68,0.6,2.9
2021-08-06,11.0,72,2.6,0.7
2021-08-07,6.7,49,4.2,4.7
2021-08-08,6.7,89,0.1,1.8
2021-08-09,5.1,79,1.0,7.2
2021-08-10,4.2,60,2.9,6.3
2021-08-11,7.5,67,1.2,5.6
2021-08-12,4.0,50,0.6,4.9
2021-08-13,5.8,73,0.5,6.9
2021-08-14,4.6,47,0.3,1.8
2021-08-15,6.4,61,3.9,7.0
2021-08-16,6.0,47,1.7,6.3
2021-08-17,7.4,88,0.2,6.0
2021-08-18,4.2,54,1.0,4.5
2021-08-19,4.6,56,0.9,2.0
2021-08-20,3.2,62,0.4,3.4
2021-08-21,4.2,63,1.1,6.3
2021-08-22,5.8,84,0.8,0.3
2021-08-23,6.5,58,0.8,6.3
2021-08-24,3.2,44,2.7,1.9
2021-08-25,6.7,71,0.5,1.2
2021-08-26,7.7,83,2.1,0.9
2021-08-27,5.8,40,1.7,0.2
2021-08-28,8.8,62,1.7,4.2
2021-08-29,3.5,76,2.2,1.7
2021-08-30,2.6,47,1.6,7.9
2021-08-31,1.6,52,4.2,4.6
2021-09-01,8.2,47,2.3,1.1
2021-09-02,6.6,62,1.6,5.5
2021-09-03,5.2,82,3.5,7.2
2021-09-04,5.9,40,1.9,6.0
2021-09-05,3.2,84,0.7,0.6
2021-09-06,10.5,63,0.5,7.2
2021-09-07,5.9,74,0.3,6.4
2021-09-08,6.0,63,4.6,1.3
2021-09-09,7.3,56,2.5,0.4
2021-09-10,7.0,44,5.5,4.5
2021-09-11,6.6,59,1.8,1.2
2021-09-12,4.7,60,1.3,6.7
2021-09-13,7.4,79,0.1,2.9
2021-09-14,10.3,70,2.2,7.3
2021-09-15,9.4,85,1.7,4.5
2021-09-16,10.1,75,9.3,1.5
2021-09-17,6.0,50,0.5,1.1
2021-09-18,5.3,54,1.5,4.6
2021-09-19,7.2,58,2.1,6.1
2021-09-20,7.7,46,2.1,6.3
2021-09-21,10.0,67,1.6,2.2
2021-09-22,4.6,82,3.0,1.6
2021-09-23,11.3,44,0.5,0.1
2021-09-24,8.1,44,2.6,5.4
2021-09-25,7.8,69,1.9,0.6
2021-09-26,6.8,71,4.5,3.4
2021-09-27,5.8,47,3.8,4.8
2021-09-28,11.0,49,0.8,7.5
2021-09-29,9.7,77,0.6,2.5
2021-09-30,7.2,86,8.0,2.0
2021-10-01,7.5,71,1.5,5.2
2021-10-02,9.6,87,4.7,5.0
2021-10-03,13.9,67,0.4,2.7
2021-10-04,10.3,56,2.1,7.4
2021-10-05,8.1,70,3.3,6.8
2021-10-06,10.9,47,5.9,1.8
2021-10-07,11.1,79,0.8,1.9
2021-10-08,6.5,64,2.6,4.1
2021-10-09,12.1,48,1.5,6.2
2021-10-10,12.0,41,0.1,0.4
2021-10-11,14.1,54,2.3,5.5
2021-10-12,16.7,89,2.3,5.2
2021-10-13,15.5,42,5.3,1.9
2021-10-14,13.0,88,1.4,5.5
2021-10-15,11.6,75,0.5,7.5
2021-10-16,19.3,43,0.1,0.4
2021-10-17,14.5,53,1.1,2.6
2021-10-18,14.7,80,0.7,3.5
2021-10-19,15.0,80,2.9,7.2
2021-10-20,15.7,64,0.9,7.7
2021-10-21,15.3,89,6.0,3.6
2021-10-22,14.7,49,6.6,6.0
2021-10-23,15.1,60,1.9,4.3
2021-10-24,16.4,75,5.3,4.3
2021-10-25,15.6,51,2.9,2.2
